method,flow_id,secure_feasible_ratio,allocated_ratio,avg_security_margin,avg_latency,avg_q_share
latency_first,F1,0.0,0.0,-0.5134834315407676,49.305813301414354,0.057641586222687315
latency_first,F2,0.0,0.041666666666666664,-0.41692681251326635,41.61002252139867,0.3381893843601223
latency_first,F3,0.3333333333333333,0.9583333333333334,-0.047133827557201656,16.034477975573736,0.2923814811420171
latency_first,F4,0.3333333333333333,0.875,-0.06720560267080643,27.270080060247864,0.46689561761697623
latency_first,F5,0.9166666666666666,1.0,0.20199513794984728,9.115646346057192,0.48858500633996277
pqc_trust,F1,0.0,0.0,-0.5191180433208881,50.400627697596214,0.013750584888491164
pqc_trust,F2,0.0,0.041666666666666664,-0.4335839502567857,51.4329181674288,0.19824537838673195
pqc_trust,F3,0.3333333333333333,0.9583333333333334,-0.04549608320692811,16.042950822897854,0.2913767438618571
pqc_trust,F4,0.3333333333333333,0.875,-0.08483401616289371,30.734280148274124,0.4291816402142095
pqc_trust,F5,0.9166666666666666,1.0,0.19672815980282907,9.485036613381519,0.4841061709449039
proposed_hybrid,F1,0.0,0.0,-0.4644446756265757,56.969528435683415,0.36333347483439155
proposed_hybrid,F2,0.0,0.041666666666666664,-0.40667450631464264,46.43898981317742,0.37773825967534086
proposed_hybrid,F3,0.3333333333333333,0.9583333333333334,-0.04549608320692811,16.042950822897854,0.2913767438618571
proposed_hybrid,F4,0.3333333333333333,0.875,-0.06619075825455774,27.270080060247864,0.4653782031214031
proposed_hybrid,F5,0.9166666666666666,1.0,0.19928373922598627,9.115646346057192,0.49112658037884804
qkd_priority,F1,0.0,0.0,-0.46014105636137237,54.429493801603755,0.38311620797350715
qkd_priority,F2,0.0,0.041666666666666664,-0.40730408623892783,45.41426290395166,0.383326473857497
qkd_priority,F3,0.3333333333333333,0.9583333333333334,-0.08968111736118611,27.837440316091897,0.36886222896355725
qkd_priority,F4,0.25,0.875,-0.14084487139451804,32.00822452540194,0.44502993429760435
qkd_priority,F5,0.9166666666666666,1.0,0.1391291366991058,9.115646346057192,0.5174717504741073
