method,time,secure_feasible_ratio,allocated_ratio,mean_security_margin,mean_latency,mean_q_share,SCI
latency_first,0,0.4,0.6,-0.18201728693522934,30.482299392018962,0.3579832972998699,0.20495846104479645
latency_first,1,0.2,0.4,-0.29810349455869145,49.62920596991607,0.1690917687135905,0.08536741262673757
latency_first,2,0.2,0.6,-0.16872843943895688,26.761087923570273,0.3488198011099617,0.1019667643486517
latency_first,3,0.2,0.2,-0.32598801773548586,35.47686567962074,0.15294010057788404,0.0568913300001624
latency_first,4,0.2,0.6,-0.17762037232783592,29.305957662619733,0.29059461406528414,0.09906801516458857
latency_first,5,0.6,0.6,-0.1439385776797657,27.951423194521006,0.2881609059599356,0.2995417934104006
latency_first,6,0.2,0.4,-0.2512777848503359,35.1305257427303,0.21839719637089078,0.0910022889464131
latency_first,7,0.4,0.6,-0.12261734411098453,24.798875799305222,0.3612603855701553,0.20946794250693235
latency_first,8,0.4,0.6,-0.09709335393142578,25.29782577117063,0.41156517509825574,0.21713394611408318
latency_first,9,0.6,0.6,-0.12710139559718855,25.60343574991889,0.3226278549285556,0.30656916278175556
latency_first,10,0.6,0.6,-0.1271047184362321,25.283746174501722,0.3412842059496572,0.3091403907911832
latency_first,11,0.6,0.8,-0.15459052250793917,25.264940483033037,0.3469110201937896,0.3052345801463789
latency_first,12,0.2,0.6,-0.22318971954659927,34.5026016488064,0.31034550045573195,0.09577233952958508
latency_first,13,0.2,0.6,-0.1346846210863384,25.499233938406615,0.3175644530388939,0.10033073107419374
latency_first,14,0.4,0.6,-0.14466491963417488,25.83633090602752,0.2899356184534988,0.1967486832189714
latency_first,15,0.4,0.6,-0.1350024488439435,25.241458772387052,0.35485575158077076,0.20402532382102695
latency_first,16,0.2,0.6,-0.15010858241260136,25.385581590023524,0.42615207081852063,0.10492204842754509
latency_first,17,0.2,0.6,-0.11376471829984644,26.301826977345684,0.4786610235890378,0.10957302327405205
latency_first,18,0.4,0.6,-0.12801899533012173,25.866511028364346,0.37613102497638495,0.20814789763010433
latency_first,19,0.2,0.6,-0.15606409727787116,26.25554974572434,0.3572540376824068,0.10188908279997363
latency_first,20,0.2,0.6,-0.16672904463588306,27.17777087343085,0.3566135718736257,0.10162035190234557
latency_first,21,0.2,0.6,-0.15379494252474113,27.393133961571625,0.3681584274542674,0.10319962027408543
latency_first,22,0.2,0.6,-0.1948802870160282,30.155683747528457,0.3565827875758093,0.10137981013069026
latency_first,23,0.2,0.6,-0.16813808967631427,30.175165390302976,0.2878361699356975,0.09850668937416349
pqc_trust,0,0.4,0.6,-0.17927759109388683,35.43996365399352,0.3312530960886503,0.20259732380684764
pqc_trust,1,0.2,0.4,-0.29810349455869145,49.62920596991607,0.1690917687135905,0.08536741262673757
pqc_trust,2,0.2,0.6,-0.20035923023532445,35.36008837548167,0.2533720665293488,0.09546890614179893
pqc_trust,3,0.2,0.2,-0.32598801773548586,35.47686567962074,0.15294010057788404,0.0568913300001624
pqc_trust,4,0.2,0.6,-0.1853643105836928,34.55916541888196,0.21580888435246268,0.09477172919254201
pqc_trust,5,0.6,0.6,-0.13363512988843157,29.262397933689225,0.3331118351953133,0.3081288201299051
pqc_trust,6,0.2,0.4,-0.2512777848503359,35.1305257427303,0.21839719637089078,0.0910022889464131
pqc_trust,7,0.4,0.6,-0.13836478583984566,28.43976267271272,0.3201853187986815,0.20401525910167334
pqc_trust,8,0.4,0.6,-0.10850582672979066,28.88882032233939,0.3791834680889715,0.21303056415942426
pqc_trust,9,0.6,0.6,-0.12710139559718855,25.60343574991889,0.3226278549285556,0.30656916278175556
pqc_trust,10,0.6,0.6,-0.1280630425633124,25.45011403306141,0.3412842059496572,0.30881308814907144
pqc_trust,11,0.6,0.8,-0.15459052250793917,25.264940483033037,0.3469110201937896,0.3052345801463789
pqc_trust,12,0.2,0.6,-0.22318971954659927,34.5026016488064,0.31034550045573195,0.09577233952958508
pqc_trust,13,0.2,0.6,-0.13269617501796682,25.93796828848557,0.3175644530388939,0.10070600403629615
pqc_trust,14,0.4,0.6,-0.14064588333583825,26.180009979994406,0.2899356184534988,0.197507831632725
pqc_trust,15,0.4,0.6,-0.1512682595189337,28.18354577651912,0.25474860714509845,0.19192406255062605
pqc_trust,16,0.2,0.6,-0.1933622135701072,29.95741056716353,0.21582510752724432,0.09257160373482265
pqc_trust,17,0.2,0.6,-0.1696052824201413,34.52696099203925,0.2874379277975634,0.09760418129349219
pqc_trust,18,0.4,0.6,-0.1423488188652275,30.041132865061922,0.27309304177884275,0.1962795951466717
pqc_trust,19,0.2,0.6,-0.16998505869424124,28.74995018629527,0.2633380793997063,0.09609144618434384
pqc_trust,20,0.2,0.6,-0.17752698345365386,32.452486845654846,0.26407285869157815,0.09624014191315426
pqc_trust,21,0.2,0.6,-0.1573654006983273,31.80391328948121,0.31577598282275254,0.1000276429909079
pqc_trust,22,0.2,0.6,-0.20650917767510096,37.36115788003254,0.2903034814502421,0.09750572768133524
pqc_trust,23,0.2,0.6,-0.15912477411433673,32.508027877082625,0.3333630134727805,0.10118226800176751
proposed_hybrid,0,0.4,0.6,-0.1750385062552005,35.918050498064694,0.4005719263516799,0.20986426552984988
proposed_hybrid,1,0.2,0.4,-0.2860883080206146,55.373642559134225,0.24866163674981637,0.08967417563643137
proposed_hybrid,2,0.2,0.6,-0.16066476490502352,28.468659440487528,0.41853461062990654,0.10647840740759376
proposed_hybrid,3,0.2,0.2,-0.32598801773548586,35.47686567962074,0.15294010057788404,0.0568913300001624
proposed_hybrid,4,0.2,0.6,-0.16797619452514628,30.87197730488981,0.3605163446282924,0.10355602584346517
proposed_hybrid,5,0.6,0.6,-0.13363512988843157,29.262397933689225,0.3331118351953133,0.3081288201299051
proposed_hybrid,6,0.2,0.4,-0.2394669846421555,36.401849098222385,0.28698886852280103,0.0954278207418017
proposed_hybrid,7,0.4,0.6,-0.1090526649029598,27.055347774725895,0.43586601189361823,0.21806404348253344
proposed_hybrid,8,0.4,0.6,-0.09862055000231167,26.47692247509601,0.40209599149641323,0.21688420713583678
proposed_hybrid,9,0.6,0.6,-0.10345699340610288,31.04192452141832,0.4362924196035127,0.3261962815828785
proposed_hybrid,10,0.6,0.6,-0.11559957812347062,26.76343174691315,0.41028533509367326,0.3221631726345105
proposed_hybrid,11,0.6,0.8,-0.1382535615428381,27.067153202918824,0.4232262152925716,0.319996611998336
proposed_hybrid,12,0.2,0.6,-0.2061286301856219,36.819365021874965,0.4021979150725584,0.10117245013541636
proposed_hybrid,13,0.2,0.6,-0.11209843889051789,31.75595786904693,0.43292120435988035,0.10720270896796183
proposed_hybrid,14,0.4,0.6,-0.12607904259666453,32.16843536430684,0.39665474869234957,0.20932649787748803
proposed_hybrid,15,0.4,0.6,-0.11179450588493844,25.38994262492878,0.46084487148651815,0.21699855171510968
proposed_hybrid,16,0.2,0.6,-0.15010858241260136,25.385581590023524,0.42615207081852063,0.10492204842754509
proposed_hybrid,17,0.2,0.6,-0.11376471829984644,26.301826977345684,0.4786610235890378,0.10957302327405205
proposed_hybrid,18,0.4,0.6,-0.10629369097728572,26.68957307492108,0.4850354484745324,0.22159633093651793
proposed_hybrid,19,0.2,0.6,-0.14236096335913598,28.898309267597263,0.44594305726863415,0.10744339561636962
proposed_hybrid,20,0.2,0.6,-0.15513369674328342,29.272900814321115,0.44394087939669485,0.10708067047856691
proposed_hybrid,21,0.2,0.6,-0.14620864822826868,29.391676037777763,0.4462497593527021,0.10791348140653372
proposed_hybrid,22,0.2,0.6,-0.18593334157590402,31.8909927186259,0.43611971169321445,0.10620629598664828
proposed_hybrid,23,0.2,0.6,-0.15116145094443675,35.105362242761956,0.3831636707447096,0.10398593623787744
qkd_priority,0,0.4,0.6,-0.177778202096543,30.960386236090137,0.4273021275628994,0.2122254027677986
qkd_priority,1,0.2,0.4,-0.2860883080206146,55.373642559134225,0.24866163674981637,0.08967417563643137
qkd_priority,2,0.2,0.6,-0.24119294173706463,36.31874702574646,0.42514319952899393,0.10267318707315909
qkd_priority,3,0.2,0.2,-0.32598801773548586,35.47686567962074,0.15294010057788404,0.0568913300001624
qkd_priority,4,0.2,0.6,-0.16597635212962972,29.55791614283899,0.3709716504197563,0.1037501536714622
qkd_priority,5,0.6,0.6,-0.13363512988843157,29.262397933689225,0.3331118351953133,0.3081288201299051
qkd_priority,6,0.2,0.4,-0.23753988967572798,35.1465844772166,0.2973660310385965,0.09563866709464791
qkd_priority,7,0.4,0.6,-0.1090526649029598,27.055347774725895,0.43586601189361823,0.21806404348253344
qkd_priority,8,0.4,0.6,-0.09709335393142578,25.29782577117063,0.41156517509825574,0.21713394611408318
qkd_priority,9,0.6,0.6,-0.10345699340610288,31.04192452141832,0.4362924196035127,0.3261962815828785
qkd_priority,10,0.6,0.6,-0.11336998113413621,25.64351077233008,0.42068701318419277,0.3229248821826255
qkd_priority,11,0.6,0.8,-0.13514592874079862,25.952164892952105,0.43399748808298266,0.3210357465740791
qkd_priority,12,0.2,0.6,-0.2061286301856219,36.819365021874965,0.4021979150725584,0.10117245013541636
qkd_priority,13,0.2,0.6,-0.1880736446808307,36.429917076388136,0.4937875672113437,0.1067168592085104
qkd_priority,14,0.4,0.6,-0.14843148823634963,32.49062423276316,0.4167423896144067,0.21035252897981782
qkd_priority,15,0.2,0.6,-0.18862235152134946,30.20207576969066,0.5242043783863912,0.1080009602005283
qkd_priority,16,0.2,0.6,-0.22978562348351925,30.419529005346867,0.48904773335352225,0.10431427276867992
qkd_priority,17,0.2,0.6,-0.1916458148741599,31.52404147291997,0.549229226015591,0.10929034504835493
qkd_priority,18,0.2,0.6,-0.182910921172534,31.766909105428965,0.5548652500651696,0.11068258773115136
qkd_priority,19,0.2,0.6,-0.21571041285423753,32.56941799999281,0.5290551680005167,0.10767747919903851
qkd_priority,20,0.2,0.6,-0.22546890678299367,37.18509183322637,0.45986712738829905,0.10425852564173166
qkd_priority,21,0.2,0.6,-0.22461069976312675,37.44897607494396,0.4467049114735516,0.10385967205695831
qkd_priority,22,0.2,0.6,-0.2426912971472659,39.939476613133436,0.42491587633348243,0.10249602218683765
qkd_priority,23,0.2,0.6,-0.23204402025220378,44.812675573421195,0.38494942686745587,0.10036385391923999
