scenario,method,regime,count
compound_stress,latency_first,sparse,120
compound_stress,pqc_trust,sparse,120
compound_stress,proposed_hybrid,sparse,120
compound_stress,qkd_priority,sparse,120
congestion_heavy,latency_first,sparse,120
congestion_heavy,pqc_trust,sparse,120
congestion_heavy,proposed_hybrid,sparse,120
congestion_heavy,qkd_priority,sparse,120
nominal,latency_first,sparse,105
nominal,latency_first,transition,15
nominal,pqc_trust,sparse,100
nominal,pqc_trust,transition,20
nominal,proposed_hybrid,sparse,100
nominal,proposed_hybrid,transition,20
nominal,qkd_priority,sparse,100
nominal,qkd_priority,transition,20
satellite_channel_stress,latency_first,sparse,120
satellite_channel_stress,pqc_trust,sparse,120
satellite_channel_stress,proposed_hybrid,sparse,120
satellite_channel_stress,qkd_priority,sparse,120
trust_erosion,latency_first,sparse,120
trust_erosion,pqc_trust,sparse,120
trust_erosion,proposed_hybrid,sparse,120
trust_erosion,qkd_priority,sparse,120
