scenario,method,selection_status,count
compound_stress,latency_first,best_effort_allocated,29
compound_stress,latency_first,blocked,13
compound_stress,latency_first,degraded_unallocated,78
compound_stress,pqc_trust,best_effort_allocated,29
compound_stress,pqc_trust,blocked,13
compound_stress,pqc_trust,degraded_unallocated,78
compound_stress,proposed_hybrid,best_effort_allocated,29
compound_stress,proposed_hybrid,blocked,13
compound_stress,proposed_hybrid,degraded_unallocated,78
compound_stress,qkd_priority,best_effort_allocated,29
compound_stress,qkd_priority,blocked,13
compound_stress,qkd_priority,degraded_unallocated,78
congestion_heavy,latency_first,best_effort_allocated,48
congestion_heavy,latency_first,blocked,3
congestion_heavy,latency_first,degraded_unallocated,49
congestion_heavy,latency_first,secure_allocated,20
congestion_heavy,pqc_trust,best_effort_allocated,49
congestion_heavy,pqc_trust,blocked,3
congestion_heavy,pqc_trust,degraded_unallocated,49
congestion_heavy,pqc_trust,secure_allocated,19
congestion_heavy,proposed_hybrid,best_effort_allocated,49
congestion_heavy,proposed_hybrid,blocked,3
congestion_heavy,proposed_hybrid,degraded_unallocated,49
congestion_heavy,proposed_hybrid,secure_allocated,19
congestion_heavy,qkd_priority,best_effort_allocated,58
congestion_heavy,qkd_priority,blocked,3
congestion_heavy,qkd_priority,degraded_unallocated,49
congestion_heavy,qkd_priority,secure_allocated,10
nominal,latency_first,best_effort_allocated,31
nominal,latency_first,blocked,3
nominal,latency_first,degraded_unallocated,48
nominal,latency_first,secure_allocated,38
nominal,pqc_trust,best_effort_allocated,31
nominal,pqc_trust,blocked,3
nominal,pqc_trust,degraded_unallocated,48
nominal,pqc_trust,secure_allocated,38
nominal,proposed_hybrid,best_effort_allocated,31
nominal,proposed_hybrid,blocked,3
nominal,proposed_hybrid,degraded_unallocated,48
nominal,proposed_hybrid,secure_allocated,38
nominal,qkd_priority,best_effort_allocated,33
nominal,qkd_priority,blocked,3
nominal,qkd_priority,degraded_unallocated,48
nominal,qkd_priority,secure_allocated,36
satellite_channel_stress,latency_first,best_effort_allocated,54
satellite_channel_stress,latency_first,blocked,6
satellite_channel_stress,latency_first,degraded_unallocated,59
satellite_channel_stress,latency_first,secure_allocated,1
satellite_channel_stress,pqc_trust,best_effort_allocated,54
satellite_channel_stress,pqc_trust,blocked,6
satellite_channel_stress,pqc_trust,degraded_unallocated,59
satellite_channel_stress,pqc_trust,secure_allocated,1
satellite_channel_stress,proposed_hybrid,best_effort_allocated,54
satellite_channel_stress,proposed_hybrid,blocked,6
satellite_channel_stress,proposed_hybrid,degraded_unallocated,59
satellite_channel_stress,proposed_hybrid,secure_allocated,1
satellite_channel_stress,qkd_priority,best_effort_allocated,54
satellite_channel_stress,qkd_priority,blocked,6
satellite_channel_stress,qkd_priority,degraded_unallocated,59
satellite_channel_stress,qkd_priority,secure_allocated,1
trust_erosion,latency_first,best_effort_allocated,47
trust_erosion,latency_first,blocked,3
trust_erosion,latency_first,degraded_unallocated,50
trust_erosion,latency_first,secure_allocated,20
trust_erosion,pqc_trust,best_effort_allocated,48
trust_erosion,pqc_trust,blocked,3
trust_erosion,pqc_trust,degraded_unallocated,50
trust_erosion,pqc_trust,secure_allocated,19
trust_erosion,proposed_hybrid,best_effort_allocated,48
trust_erosion,proposed_hybrid,blocked,3
trust_erosion,proposed_hybrid,degraded_unallocated,50
trust_erosion,proposed_hybrid,secure_allocated,19
trust_erosion,qkd_priority,best_effort_allocated,54
trust_erosion,qkd_priority,blocked,3
trust_erosion,qkd_priority,degraded_unallocated,52
trust_erosion,qkd_priority,secure_allocated,11
