scenario,baseline_method,delta_secure_feasible_ratio,delta_allocated_ratio,delta_avg_security_margin,delta_avg_functional_score,delta_avg_q_share,delta_avg_risk,delta_avg_latency,delta_avg_SCI
nominal,latency_first,0.0,0.0,0.011846450431095362,0.02663281345455465,0.06905203723801501,-0.0035929111426283578,2.4987652870028434,0.006845369326857087
nominal,pqc_trust,0.0,0.0,0.020556329793589734,0.04917102071645124,0.1144585487151294,-0.004428029007656209,-0.4898421535591062,0.010060135137706372
nominal,qkd_priority,0.016666666666666663,0.0,0.03506394209603611,0.05413666939913436,-0.0217706667388865,-0.00361227604374445,-2.540481526809888,0.009717681658223315
satellite_channel_stress,latency_first,0.0,0.0,0.0024828445093011964,0.005771338712606322,-0.00022893914744588628,-0.0054135534760295645,2.463948641676403,0.0
satellite_channel_stress,pqc_trust,0.0,0.0,-0.0005862938724434663,0.0020430031769138046,0.002882306677440591,-0.00542464861204317,0.6849592997903429,0.0
satellite_channel_stress,qkd_priority,0.0,0.0,0.005971805573371791,0.008010448357247457,-0.000991071201992627,-0.005906246646392721,2.2116806326494896,7.5413712116020534e-06
trust_erosion,latency_first,-0.008333333333333331,0.0,0.00807527601377761,0.014962519487907777,0.03869779281641095,-0.005563009372742789,2.330204779490387,-0.0014844687635397064
trust_erosion,pqc_trust,0.0,0.0,0.012579844389097927,0.028709100204653393,0.07707098076661845,-0.00493634199297599,-0.8329238379001112,0.004120878522273566
trust_erosion,qkd_priority,0.06666666666666667,0.01666666666666672,0.04681035506842979,0.07096782247519495,-0.038054484354231755,-0.005263324040773676,-3.6516778831735053,0.031801209257147724
congestion_heavy,latency_first,-0.008333333333333331,0.0,0.009527284543548675,0.020712280180465004,0.06393971745549609,-0.004187424736914358,2.678457848468149,-0.0009053380982515374
congestion_heavy,pqc_trust,0.0,0.0,0.012067875034832781,0.0347093313694003,0.10042648502902152,-0.005449158467288662,0.32914868851781165,0.004752060633348765
congestion_heavy,qkd_priority,0.075,0.0,0.049097592081107144,0.07720007935217121,-0.0178841114044474,-0.003805654307281525,-6.2445727813553376,0.0391179799396364
compound_stress,latency_first,0.0,0.0,-0.0024082951293671884,0.005468455386792415,0.0007401147970840169,-0.006984247542379474,1.5045413252674678,0.0
compound_stress,pqc_trust,0.0,0.0,-0.0035051086326467473,0.0033917944528009114,0.0027232399059858095,-0.006034368811341451,-0.41464137070686746,0.0
compound_stress,qkd_priority,0.0,0.0,0.0015836064899772406,0.003662550522025687,-0.0008357121572822243,-0.005191346733479318,1.2856860005830981,0.0
